2026-07-21 14:44:26,667 | 127.0.0.1 | GET | /api/v1/history | 200 | 14.28 ms
2026-07-21 14:45:44,980 | 127.0.0.1 | GET | /api/v1/documents | 200 | 19.52 ms
2026-07-21 14:45:44,999 | 127.0.0.1 | GET | /api/v1/history | 200 | 10.62 ms
2026-07-21 14:45:50,296 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.78 ms
2026-07-21 14:45:50,314 | 127.0.0.1 | GET | /api/v1/history | 200 | 9.19 ms
2026-07-21 14:59:24,862 | 127.0.0.1 | GET | /api/v1/documents | 200 | 21.84 ms
2026-07-21 14:59:24,880 | 127.0.0.1 | GET | /api/v1/history | 200 | 10.99 ms
2026-07-21 15:09:31,624 | 127.0.0.1 | GET | /api/v1/documents | 200 | 21.94 ms
2026-07-21 15:09:31,644 | 127.0.0.1 | GET | /api/v1/history | 200 | 10.92 ms
2026-07-21 15:09:49,920 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.89 ms
2026-07-21 15:09:49,936 | 127.0.0.1 | GET | /api/v1/history | 200 | 6.54 ms
2026-07-21 15:09:58,532 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.76 ms
2026-07-21 15:10:20,223 | 127.0.0.1 | POST | /api/v1/query | 200 | 21684.11 ms
2026-07-21 15:15:31,254 | 127.0.0.1 | GET | /api/v1/documents | 200 | 23.15 ms
2026-07-21 15:15:31,276 | 127.0.0.1 | GET | /api/v1/history | 200 | 12.80 ms
2026-07-21 15:15:45,018 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.34 ms
2026-07-21 15:15:45,036 | 127.0.0.1 | GET | /api/v1/history | 200 | 9.83 ms
2026-07-21 15:16:06,328 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.63 ms
2026-07-21 15:16:28,643 | 127.0.0.1 | POST | /api/v1/query | 200 | 22301.22 ms
2026-07-21 15:18:31,016 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.87 ms
2026-07-21 15:18:51,753 | 127.0.0.1 | POST | /api/v1/query | 200 | 20723.52 ms
2026-07-21 15:21:20,870 | 127.0.0.1 | GET | /api/v1/documents | 200 | 12.59 ms
2026-07-21 15:21:20,883 | 127.0.0.1 | GET | /api/v1/history | 200 | 7.94 ms
2026-07-21 15:21:27,269 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.07 ms
2026-07-21 15:21:27,284 | 127.0.0.1 | GET | /api/v1/history | 200 | 7.29 ms
2026-07-21 15:21:47,328 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.28 ms
2026-07-21 15:22:09,377 | 127.0.0.1 | POST | /api/v1/query | 200 | 22029.88 ms
2026-07-22 13:53:52,588 | 127.0.0.1 | GET | /api/v1/documents | 200 | 20.72 ms
2026-07-22 13:53:52,609 | 127.0.0.1 | GET | /api/v1/history | 200 | 11.80 ms
2026-07-22 13:54:01,251 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.72 ms
2026-07-22 13:54:01,269 | 127.0.0.1 | GET | /api/v1/history | 200 | 8.32 ms
2026-07-22 13:54:05,121 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.69 ms
2026-07-22 13:54:05,135 | 127.0.0.1 | GET | /api/v1/history | 200 | 4.68 ms
2026-07-22 13:54:13,671 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.50 ms
2026-07-22 14:11:37,022 | 127.0.0.1 | GET | /api/v1/documents | 200 | 23.86 ms
2026-07-22 14:11:37,045 | 127.0.0.1 | GET | /api/v1/history | 200 | 14.11 ms
2026-07-22 14:11:41,120 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.75 ms
2026-07-22 14:11:41,137 | 127.0.0.1 | GET | /api/v1/history | 200 | 6.47 ms
2026-07-22 14:11:50,861 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.94 ms
2026-07-22 14:13:26,668 | 127.0.0.1 | GET | /api/v1/documents | 200 | 24.66 ms
2026-07-22 14:13:26,698 | 127.0.0.1 | GET | /api/v1/history | 200 | 17.50 ms
2026-07-22 14:13:29,977 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.82 ms
2026-07-22 14:13:29,991 | 127.0.0.1 | GET | /api/v1/history | 200 | 4.52 ms
2026-07-22 14:13:40,792 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.21 ms
2026-07-22 14:19:25,079 | 127.0.0.1 | GET | /api/v1/documents | 200 | 23.72 ms
2026-07-22 14:19:25,097 | 127.0.0.1 | GET | /api/v1/history | 200 | 11.69 ms
2026-07-22 14:19:29,755 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.31 ms
2026-07-22 14:19:29,768 | 127.0.0.1 | GET | /api/v1/history | 200 | 5.25 ms
2026-07-22 14:19:38,801 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.86 ms
2026-07-22 14:19:55,399 | 127.0.0.1 | POST | /api/v1/query | 200 | 16591.82 ms
